mae_rcwa_o5_pct,mae_rcwa_o7_pct,mae_surr_pct,n_box_edge,n_violations,orig_index,peak_shift_nm,pixel_nm,seed,smallest_feature_nm,status,structure,target_no,twice_R_out_over_P,violated_rules,true_P,true_R_disk,true_R_in,true_R_out,true_W2,true_Wx,true_Wy,true_d1,true_d2,true_d_SiO2,true_phi,true_t1,true_t2,true_t_Cr,true_t_mid,true_theta,committed_P,committed_R_disk,committed_R_in,committed_R_out,committed_W2,committed_Wx,committed_Wy,committed_d1,committed_d2,committed_d_SiO2,committed_phi,committed_t1,committed_t2,committed_t_Cr,committed_t_mid,committed_theta
7.582,2.967,0.352,2,1,168,-57,6.84,42,32.8,pretender,B,12,0.935,R_out>0.45P,443.83,49.37,108.69,199.72,,,,,,101.77,8.69,,,73.63,,44.31,437.79,10.0,54.07,204.64,,,,,,77.23,0.0,,,32.78,,44.7
2.556,3.456,0.301,0,0,339,+42,10.37,42,19.5,confirmed,B,13,0.44,,498.85,29.98,92.55,102.55,,,,,,150.03,35.65,,,31.87,,23.36,663.73,36.19,126.51,146.05,,,,,,148.41,15.69,,,27.94,,19.82
7.539,6.045,0.303,0,1,146,+28,5.1,42,6.2,pretender,B,14,0.783,R_in>R_out-10,319.57,59.13,133.81,143.81,,,,,,119.43,9.09,,,68.34,,1.21,326.1,54.9,121.47,127.69,,,,,,127.9,28.36,,,65.87,,8.01
1.492,1.969,0.314,0,0,118,-28,8.03,42,28.6,confirmed,B,15,0.787,,455.95,62.15,122.19,132.19,,,,,,141.87,40.88,,,71.7,,5.61,513.74,65.15,173.43,202.08,,,,,,151.79,18.09,,,71.0,,29.36
7.246,3.866,1.217,1,0,481,+71,12.5,42,22.1,pretender,B,16,0.536,,689.32,46.48,155.93,265.05,,,,,,182.14,6.46,,,35.37,,57.75,800.0,91.91,192.09,214.23,,,,,,165.8,7.43,,,41.3,,48.27
10.738,9.735,0.366,2,2,172,+438,4.92,42,7.4,pretender,B,17,1.372,R_out>0.45P;R_in>R_out-10,376.15,97.9,159.27,169.27,,,,,,68.86,13.32,,,68.88,,47.37,314.6,76.78,208.34,215.79,,,,,,71.26,0.0,,,70.42,,41.88
13.397,9.302,0.675,2,1,311,-820,6.53,42,21.8,pretender,B,18,0.959,R_out>0.45P,446.42,42.44,83.62,200.89,,,,,,98.24,0.94,,,62.67,,52.29,417.7,20.03,41.8,200.33,,,,,,88.66,0.08,,,59.42,,44.77
3.532,7.072,0.489,1,1,51,+0,9.53,42,8.6,confirmed,B,19,0.772,R_in>R_out-10,478.2,36.67,205.19,215.19,,,,,,185.11,29.44,,,23.66,,54.13,609.89,12.71,226.96,235.54,,,,,,168.4,6.41,,,36.5,,44.35
13.678,14.961,1.068,5,2,255,+0,4.69,42,6.9,pretender,B,20,1.474,R_out>0.45P;R_in>R_out-10,356.42,44.25,54.25,160.39,,,,,,51.12,20.16,,,32.45,,21.94,300.0,100.0,214.14,221.06,,,,,,199.38,45.0,,,80.0,,41.76
7.307,,0.649,0,1,358,-71,8.34,123,44.1,pretender,B,1,1.046,R_out>0.45P,650.12,46.67,239.98,292.42,,,,,,130.18,7.3,,,65.06,,15.51,533.75,27.02,207.05,279.17,,,,,,140.01,37.63,,,44.14,,24.43
